Average of cumm_rainfall,Average of temp_min,Average of temp_max,Average of humidity_min,Average of humidity_max,Average of wind_speed_min,Average of wind_speed_max,District,Average of Year,Constructed date,date,datevalue,AQI,,,,
5.91,24.01,33.28,75.22,98.26,0.1,8.46,Karimnagar,2020,12-Sep-20,12-09-2020,44086,96,,,,
16.24,24.17,33.37,73.03,98.64,0,10.73,Karimnagar,2020,13-Sep-20,13-09-2020,44087,96,,,,
29.91,24.48,31.23,84.39,98.85,0.38,10.57,Karimnagar,2020,14-Sep-20,14-09-2020,44088,96,,,,
33.85,23.96,31.38,89.12,99.06,0,8.51,Karimnagar,2020,15-Sep-20,15-09-2020,44089,96,,,,
7.51,23.88,33.63,78.73,98.72,0,11.01,Karimnagar,2020,16-Sep-20,16-09-2020,44090,96,,,,
8.26,24.5,31.86,81.32,97.92,0,7.78,Karimnagar,2020,17-Sep-20,17-09-2020,44091,96,,,,
0.59,25.58,34.48,77.6,98.04,0.75,5.66,Karimnagar,2020,18-Sep-20,18-09-2020,44092,96,,,,
0.03,25.61,31.75,85.49,98.34,0,8.08,Karimnagar,2020,19-Sep-20,19-09-2020,44093,96,,,,
17.96,23.84,33.41,79.69,98.13,0,7.41,Karimnagar,2020,20-Sep-20,20-09-2020,44094,96,,,,
22.61,23.79,33.19,81.89,97.89,0.2,8.88,Karimnagar,2020,21-Sep-20,21-09-2020,44095,96,,,,
4.91,25.32,30.86,84.37,97.49,0,8.47,Karimnagar,2020,22-Sep-20,22-09-2020,44096,96,,,,
14.14,24.37,32.43,82.31,98.11,1.88,8.84,Karimnagar,2020,23-Sep-20,23-09-2020,44097,96,,,,
0.02,25.56,31.43,82.34,94.33,0.98,12.28,Karimnagar,2020,24-Sep-20,24-09-2020,44098,96,,,,
0,25.13,32.57,78.24,97.03,0,10.58,Karimnagar,2020,25-Sep-20,25-09-2020,44099,96,,,,
52.74,23.66,32.58,84.49,98.72,0,10.53,Karimnagar,2020,26-Sep-20,26-09-2020,44100,96,,,,
3.03,23.73,29.19,89.92,99.14,1.36,11.36,Karimnagar,2020,27-Sep-20,27-09-2020,44101,96,,,,
0,23.39,31.09,81.76,98.21,0.2,8.46,Karimnagar,2020,28-Sep-20,28-09-2020,44102,96,,,,
0.56,24.66,32.96,77.97,98.12,1.03,5.76,Karimnagar,2020,29-Sep-20,29-09-2020,44103,96,,,,
17.23,22.55,32.64,79.3,98.61,0,10.88,Karimnagar,2020,30-Sep-20,30-09-2020,44104,96,,,,
8.89,23.33,32.4,82.08,97.83,0.55,8.64,Karimnagar,2020,01-Oct-20,01-10-2020,44105,137,,,,
0.03,24.65,32.59,80.51,96.82,0.55,9.68,Karimnagar,2020,02-Oct-20,02-10-2020,44106,137,,,,
0,25.44,32.86,73.13,95.66,0,7.08,Karimnagar,2020,03-Oct-20,03-10-2020,44107,137,,,,
0,24.19,34.06,57.78,93.64,0.3,5.63,Karimnagar,2020,04-Oct-20,04-10-2020,44108,137,,,,
0,22.66,33.48,59.11,91.29,0.33,6.31,Karimnagar,2020,05-Oct-20,05-10-2020,44109,137,,,,
0,24.29,32.64,62.21,95.63,2.05,7.7,Karimnagar,2020,06-Oct-20,06-10-2020,44110,137,,,,
5.41,24.89,33.28,60.41,96.48,0.25,5.72,Karimnagar,2020,07-Oct-20,07-10-2020,44111,137,,,,
25.93,22.31,26.62,91.35,98.83,0,7.14,Karimnagar,2020,08-Oct-20,08-10-2020,44112,137,,,,
0.61,23.7,30.47,85.08,98.49,0,3.86,Karimnagar,2020,09-Oct-20,09-10-2020,44113,137,,,,
1.96,24.93,33.21,77.26,98.26,0,4.62,Karimnagar,2020,10-Oct-20,10-10-2020,44114,137,,,,
9.13,24.03,33.31,77.66,98.44,0,5.27,Karimnagar,2020,11-Oct-20,11-10-2020,44115,137,,,,
11.68,23.95,31.38,82.98,98.59,0,6.19,Karimnagar,2020,12-Oct-20,12-10-2020,44116,137,,,,
9.11,23.45,31.22,84.71,98,0.3,5.57,Karimnagar,2020,13-Oct-20,13-10-2020,44117,137,,,,
51.23,23.51,26.11,94.44,98.17,1.89,11.38,Karimnagar,2020,14-Oct-20,14-10-2020,44118,137,,,,
0.34,24,29.48,84.91,98.39,0,8.63,Karimnagar,2020,15-Oct-20,15-10-2020,44119,137,,,,
0.09,24.5,31.44,81.2,98.58,0,6.08,Karimnagar,2020,16-Oct-20,16-10-2020,44120,137,,,,
4.33,23.69,33.72,68.2,97.65,0,6.03,Karimnagar,2020,17-Oct-20,17-10-2020,44121,137,,,,
1.29,23.41,32.56,78.6,98.04,0,8.19,Karimnagar,2020,18-Oct-20,18-10-2020,44122,137,,,,
1.09,24.75,33.98,68.78,98.04,0,4.36,Karimnagar,2020,19-Oct-20,19-10-2020,44123,137,,,,
3.34,24.17,33.29,74.24,97.71,0,5.32,Karimnagar,2020,20-Oct-20,20-10-2020,44124,137,,,,
9.71,23.66,32.86,76.77,98.53,0,7.05,Karimnagar,2020,21-Oct-20,21-10-2020,44125,137,,,,
0.01,23.25,32.33,76.08,97.6,0,6.87,Karimnagar,2020,22-Oct-20,22-10-2020,44126,137,,,,
0,21.74,33.58,61.17,97.18,0,3.46,Karimnagar,2020,23-Oct-20,23-10-2020,44127,137,,,,
0,21.68,33.1,49.79,97.05,0,4.91,Karimnagar,2020,24-Oct-20,24-10-2020,44128,137,,,,
0,21.58,34.38,44.03,97.75,0,9.46,Karimnagar,2020,25-Oct-20,25-10-2020,44129,137,,,,
0,21.35,33.94,46.39,97.16,0,4.03,Karimnagar,2020,26-Oct-20,26-10-2020,44130,137,,,,
0,20.44,33.4,41.19,96.46,0,5.31,Karimnagar,2020,27-Oct-20,27-10-2020,44131,137,,,,
0,19.77,32.88,43.01,95.37,0,4.99,Karimnagar,2020,28-Oct-20,28-10-2020,44132,137,,,,
0,19.74,33.38,40.76,94.58,0,8.83,Karimnagar,2020,29-Oct-20,29-10-2020,44133,137,,,,
0,21.76,32.96,45.8,94.11,0,5.04,Karimnagar,2020,30-Oct-20,30-10-2020,44134,137,,,,
0,20.58,32.5,46.61,95.95,0,6.04,Karimnagar,2020,31-Oct-20,31-10-2020,44135,137,,,,
0,18.91,31.82,46.02,92.29,0,6.41,Karimnagar,2020,01-Nov-20,01-11-2020,44136,114,,,,
0,19.66,32.65,37.51,88.93,0,5.6,Karimnagar,2020,02-Nov-20,02-11-2020,44137,114,,,,
0,20.69,33.06,47.68,89.44,0.3,5.94,Karimnagar,2020,03-Nov-20,03-11-2020,44138,114,,,,
0,17.98,32.86,38.54,86.31,0,9.38,Karimnagar,2020,04-Nov-20,04-11-2020,44139,114,,,,
0,17.11,32.3,28.14,87.99,0,8.16,Karimnagar,2020,05-Nov-20,05-11-2020,44140,114,,,,
0,16.99,32.59,26.65,88.26,0,6.93,Karimnagar,2020,06-Nov-20,06-11-2020,44141,114,,,,
0,20.74,32.18,47.53,87.39,0.1,6.94,Karimnagar,2020,07-Nov-20,07-11-2020,44142,114,,,,
0,16.51,32.29,39.34,89.02,0,7.37,Karimnagar,2020,08-Nov-20,08-11-2020,44143,114,,,,
0,15.07,31.14,30.62,86.63,0,8.14,Karimnagar,2020,09-Nov-20,09-11-2020,44144,114,,,,
0,13.7,30.21,27.96,88.52,0,6.61,Karimnagar,2020,10-Nov-20,10-11-2020,44145,114,,,,
0,14.78,29.91,29.94,86.43,0,7.67,Karimnagar,2020,11-Nov-20,11-11-2020,44146,114,,,,
0,20.44,32.01,39.51,85.33,0,5.14,Karimnagar,2020,12-Nov-20,12-11-2020,44147,114,,,,
0.18,22.58,31.79,55.54,92.39,0,5.36,Karimnagar,2020,13-Nov-20,13-11-2020,44148,114,,,,
0,20.51,32.66,50.17,94.03,0,5.28,Karimnagar,2020,14-Nov-20,14-11-2020,44149,114,,,,
0,19.8,33.57,40.37,93.31,0,5.74,Karimnagar,2020,15-Nov-20,15-11-2020,44150,114,,,,
0,21.26,33.58,42.27,92.62,0,5.8,Karimnagar,2020,16-Nov-20,16-11-2020,44151,114,,,,
0,19.12,33.64,41.08,93.93,0,8.08,Karimnagar,2020,17-Nov-20,17-11-2020,44152,114,,,,
0,20.14,33.36,42.34,95.24,0,8.2,Karimnagar,2020,18-Nov-20,18-11-2020,44153,114,,,,
0,22.18,32.04,51.43,95.86,0,10.34,Karimnagar,2020,19-Nov-20,19-11-2020,44154,114,,,,
0,21.13,33.53,45.76,94.45,0.6,10.41,Karimnagar,2020,20-Nov-20,20-11-2020,44155,114,,,,
0,20.34,34.83,32.58,93.36,0,5.79,Karimnagar,2020,21-Nov-20,21-11-2020,44156,114,,,,
0,20.81,33.75,38.46,94.84,0,5.41,Karimnagar,2020,22-Nov-20,22-11-2020,44157,114,,,,
0,17.04,31.86,49.49,92.01,0,5.43,Karimnagar,2020,23-Nov-20,23-11-2020,44158,114,,,,
0,15.58,31.41,30.03,90.56,0,5.82,Karimnagar,2020,24-Nov-20,24-11-2020,44159,114,,,,
0,15.2,30.55,28.91,88.42,0,8.14,Karimnagar,2020,25-Nov-20,25-11-2020,44160,114,,,,
0,21.32,31.53,35.9,77.23,0,6.12,Karimnagar,2020,26-Nov-20,26-11-2020,44161,114,,,,
0.58,19.26,27.78,56.81,85.27,0.7,6.83,Karimnagar,2020,27-Nov-20,27-11-2020,44162,114,,,,
0.62,18.71,22.98,71.11,87.36,1.68,9.16,Karimnagar,2020,28-Nov-20,28-11-2020,44163,114,,,,
0,20.6,28.71,53.23,88.49,0,8.4,Karimnagar,2020,29-Nov-20,29-11-2020,44164,114,,,,
0,20.75,32.2,47.73,86.66,0,4.61,Karimnagar,2020,30-Nov-20,30-11-2020,44165,114,,,,
0,17.61,32.39,42.61,95.08,0,6.25,Karimnagar,2020,01-Dec-20,01-12-2020,44166,108,,,,
0,16.44,31.21,37.64,92.28,0,6.31,Karimnagar,2020,02-Dec-20,02-12-2020,44167,108,,,,
0,15.13,30.93,34.15,92.26,0,7.39,Karimnagar,2020,03-Dec-20,03-12-2020,44168,108,,,,
0,16.03,31.3,35.94,91.61,0,5.13,Karimnagar,2020,04-Dec-20,04-12-2020,44169,108,,,,
0,14.03,31.43,29.15,90.34,0,6.11,Karimnagar,2020,05-Dec-20,05-12-2020,44170,108,,,,
0,13.73,31.36,24.13,88.73,0,6.71,Karimnagar,2020,06-Dec-20,06-12-2020,44171,108,,,,
0,15.48,32.09,27.84,89.73,0,6.06,Karimnagar,2020,07-Dec-20,07-12-2020,44172,108,,,,
0,15.48,32.32,28.79,89.71,0,7.12,Karimnagar,2020,08-Dec-20,08-12-2020,44173,108,,,,
0,15.09,32.46,28.88,92.68,0,5.96,Karimnagar,2020,09-Dec-20,09-12-2020,44174,108,,,,
0,15.76,32.14,29.59,90.76,0,5.26,Karimnagar,2020,10-Dec-20,10-12-2020,44175,108,,,,
0,17.16,31.74,34.22,92.66,0,4.78,Karimnagar,2020,11-Dec-20,11-12-2020,44176,108,,,,
0,17.09,31.74,36.02,92.76,0,6,Karimnagar,2020,12-Dec-20,12-12-2020,44177,108,,,,
0,17.89,30.79,43.99,94.99,0,6.72,Karimnagar,2020,13-Dec-20,13-12-2020,44178,108,,,,
0,17.61,30.19,47.68,92.73,0,5.34,Karimnagar,2020,14-Dec-20,14-12-2020,44179,108,,,,
0,16.78,30.23,41.31,90.09,0,8.73,Karimnagar,2020,15-Dec-20,15-12-2020,44180,108,,,,
0,18.74,30.21,44.69,92.31,0,14.52,Karimnagar,2020,16-Dec-20,16-12-2020,44181,108,,,,
0,18.39,31.06,43.26,92.51,0.5,7.88,Karimnagar,2020,17-Dec-20,17-12-2020,44182,108,,,,
0,18.01,30.94,46.7,92.38,0,5.61,Karimnagar,2020,18-Dec-20,18-12-2020,44183,108,,,,
0,16.41,30.17,40.37,93.34,0,7.08,Karimnagar,2020,19-Dec-20,19-12-2020,44184,108,,,,
0,14.35,29.39,36.26,92.06,0,6.36,Karimnagar,2020,20-Dec-20,20-12-2020,44185,108,,,,
0,12.14,28.71,25.22,85.91,0,7.56,Karimnagar,2020,21-Dec-20,21-12-2020,44186,108,,,,
0,11.59,28.7,21.12,89.67,0,6.98,Karimnagar,2020,22-Dec-20,22-12-2020,44187,108,,,,
0,11.8,29.24,22.36,91.61,0,6.11,Karimnagar,2020,23-Dec-20,23-12-2020,44188,108,,,,
0,13.9,29.05,29.84,93.38,0,5.43,Karimnagar,2020,24-Dec-20,24-12-2020,44189,108,,,,
0,14.59,29.04,39.22,95.37,0,5.86,Karimnagar,2020,25-Dec-20,25-12-2020,44190,108,,,,
0,14.2,28.84,40.15,95.94,0,5.04,Karimnagar,2020,26-Dec-20,26-12-2020,44191,108,,,,
0,13.59,29.35,33.04,94.66,0,5.79,Karimnagar,2020,27-Dec-20,27-12-2020,44192,108,,,,
0,14.61,30.09,31.6,91.25,0,5.73,Karimnagar,2020,28-Dec-20,28-12-2020,44193,108,,,,
0,15.93,31.03,34.15,93.93,0,8.49,Karimnagar,2020,29-Dec-20,29-12-2020,44194,108,,,,
0,16.92,29.62,40.28,91.32,0,7.65,Karimnagar,2020,30-Dec-20,30-12-2020,44195,108,,,,
0,17.44,29.13,46.05,92.94,0,8.43,Karimnagar,2020,31-Dec-20,31-12-2020,44196,108,,,,
0,17.59,29.13,48.26,93.71,0,,Karimnagar,2021,01-Jan-21,01-01-2021,44197,110,,,,
0,16.66,28.88,50.78,96.76,0,,Karimnagar,2021,02-Jan-21,02-01-2021,44198,110,,,,
0,16.54,29.29,48.85,95.74,0,,Karimnagar,2021,03-Jan-21,03-01-2021,44199,110,,,,
0,17.19,29.06,49.56,95.49,0,,Karimnagar,2021,04-Jan-21,04-01-2021,44200,110,,,,
0,16.76,29.66,44.91,96.53,0,,Karimnagar,2021,05-Jan-21,05-01-2021,44201,110,,,,
0,20.55,30.15,46.55,93.76,0,,Karimnagar,2021,06-Jan-21,06-01-2021,44202,110,,,,
2.48,21.36,28.21,59.44,93.29,0,,Karimnagar,2021,07-Jan-21,07-01-2021,44203,110,,,,
0.14,21.47,28.35,67.51,96.45,0,,Karimnagar,2021,08-Jan-21,08-01-2021,44204,110,,,,
0,18.76,31.35,42.25,94.15,0,,Karimnagar,2021,09-Jan-21,09-01-2021,44205,110,,,,
0,16.99,31.69,31.01,97.64,0,,Karimnagar,2021,10-Jan-21,10-01-2021,44206,110,,,,
0,16.9,31.71,33.13,96.35,0,,Karimnagar,2021,11-Jan-21,11-01-2021,44207,110,,,,
0,18.53,31.36,45.47,97.69,0,,Karimnagar,2021,12-Jan-21,12-01-2021,44208,110,,,,
0,18.81,31.24,48.91,97.26,0,,Karimnagar,2021,13-Jan-21,13-01-2021,44209,110,,,,
0,17.66,31.94,37.43,96.62,0,,Karimnagar,2021,14-Jan-21,14-01-2021,44210,110,,,,
0,16.48,31.89,36.43,96.59,0,,Karimnagar,2021,15-Jan-21,15-01-2021,44211,110,,,,
0,16.6,31.07,37.8,96.94,0,,Karimnagar,2021,16-Jan-21,16-01-2021,44212,110,,,,
0,17.61,31.02,41.74,96.62,0,,Karimnagar,2021,17-Jan-21,17-01-2021,44213,110,,,,
0,18.09,30.16,48.31,96.35,0,,Karimnagar,2021,18-Jan-21,18-01-2021,44214,110,,,,
0,18.4,30.16,49.68,96.98,0,,Karimnagar,2021,19-Jan-21,19-01-2021,44215,110,,,,
0,18.15,32,39.14,95.61,0,,Karimnagar,2021,20-Jan-21,20-01-2021,44216,110,,,,
0,18.71,33.07,34.56,89.31,0,,Karimnagar,2021,21-Jan-21,21-01-2021,44217,110,,,,
0,18.61,32.54,38.38,94.44,0,,Karimnagar,2021,22-Jan-21,22-01-2021,44218,110,,,,
0,18.22,31.89,42.67,97.05,0,,Karimnagar,2021,23-Jan-21,23-01-2021,44219,110,,,,
0,18.85,32.37,43.98,95.07,0,,Karimnagar,2021,24-Jan-21,24-01-2021,44220,110,,,,
0,19.09,33.21,42.79,93.82,0,,Karimnagar,2021,25-Jan-21,25-01-2021,44221,110,,,,
0,19.44,32.53,43.76,87.96,0,,Karimnagar,2021,26-Jan-21,26-01-2021,44222,110,,,,
0,19.69,32.38,40.94,93.86,0,,Karimnagar,2021,27-Jan-21,27-01-2021,44223,110,,,,
0,19.56,31.22,49.22,94.24,0,,Karimnagar,2021,28-Jan-21,28-01-2021,44224,110,,,,
0,19.98,31.24,51.54,94.47,0,,Karimnagar,2021,29-Jan-21,29-01-2021,44225,110,,,,
0,19.44,31.72,46.14,94.31,0,,Karimnagar,2021,30-Jan-21,30-01-2021,44226,110,,,,
0,18.51,30.24,55.59,89.47,0,,Karimnagar,2021,31-Jan-21,31-01-2021,44227,110,,,,
0,17.59,30.14,54.59,93.34,0,,Karimnagar,2021,01-Feb-21,01-02-2021,44228,110,,,,
0,14.56,30.8,45.43,96,0,,Karimnagar,2021,02-Feb-21,02-02-2021,44229,110,,,,
0,13.93,31.22,30.33,96.71,0,,Karimnagar,2021,03-Feb-21,03-02-2021,44230,110,,,,
0,14.03,31.31,23.82,95.31,0,,Karimnagar,2021,04-Feb-21,04-02-2021,44231,110,,,,
0,14.39,30.44,32.01,95.14,0,,Karimnagar,2021,05-Feb-21,05-02-2021,44232,110,,,,
0,16.8,30.72,29.86,89.56,0,,Karimnagar,2021,06-Feb-21,06-02-2021,44233,110,,,,
0,16.44,31.14,38.08,92.98,0,,Karimnagar,2021,07-Feb-21,07-02-2021,44234,110,,,,
0,12.36,29.56,36.29,85.33,0,,Karimnagar,2021,08-Feb-21,08-02-2021,44235,110,,,,
0,13.18,29.76,26.71,90.95,0,,Karimnagar,2021,09-Feb-21,09-02-2021,44236,110,,,,
0,13.23,30.86,26.06,93.96,0,,Karimnagar,2021,10-Feb-21,10-02-2021,44237,110,,,,
0,14.93,32,23.15,92.43,0,,Karimnagar,2021,11-Feb-21,11-02-2021,44238,110,,,,
0,17.45,32.12,31.08,95.66,0,,Karimnagar,2021,12-Feb-21,12-02-2021,44239,110,,,,
0,17.84,31.83,34.16,93.93,0,,Karimnagar,2021,13-Feb-21,13-02-2021,44240,110,,,,
0,18.59,32.46,38.26,90.78,0,,Karimnagar,2021,14-Feb-21,14-02-2021,44241,110,,,,
0,18.51,32.87,35.35,86.41,0,,Karimnagar,2021,15-Feb-21,15-02-2021,44242,110,,,,
0,18.65,33.16,34.34,84.58,0,,Karimnagar,2021,16-Feb-21,16-02-2021,44243,110,,,,
0,18.74,33.31,34.01,75.68,0,,Karimnagar,2021,17-Feb-21,17-02-2021,44244,110,,,,
0,18.28,31.98,33.45,90.23,0,,Karimnagar,2021,18-Feb-21,18-02-2021,44245,110,,,,
1.09,18.05,29.38,55.23,94.65,0,,Karimnagar,2021,19-Feb-21,19-02-2021,44246,110,,,,
0.03,18.17,28.57,49.43,91.16,0,,Karimnagar,2021,20-Feb-21,20-02-2021,44247,110,,,,
0,18.41,30.81,42.31,94.4,0,,Karimnagar,2021,21-Feb-21,21-02-2021,44248,110,,,,
0,18.8,31.34,44.43,94.68,0,,Karimnagar,2021,22-Feb-21,22-02-2021,44249,110,,,,
0,16.88,32.79,40,95.17,0,,Karimnagar,2021,23-Feb-21,23-02-2021,44250,110,,,,
0,15.79,34.26,25.21,90.5,0,,Karimnagar,2021,24-Feb-21,24-02-2021,44251,110,,,,
0,16.41,34.63,26.24,89.91,0,,Karimnagar,2021,25-Feb-21,25-02-2021,44252,110,,,,
0,18.04,36.04,21.59,85.03,0,,Karimnagar,2021,26-Feb-21,26-02-2021,44253,110,,,,
0,19.65,37.13,21.79,81.91,0,,Karimnagar,2021,27-Feb-21,27-02-2021,44254,110,,,,
0,18.46,37.08,19.87,85.88,0,,Karimnagar,2021,28-Feb-21,28-02-2021,44255,110,,,,
0,21.81,37.21,16.08,76.39,0,,Karimnagar,2021,01-Mar-21,01-03-2021,44256,69,,,,
0,20.25,35.49,32.03,88.64,0,,Karimnagar,2021,02-Mar-21,02-03-2021,44257,69,,,,
0,19.21,34.74,33.28,88.01,0,,Karimnagar,2021,03-Mar-21,03-03-2021,44258,69,,,,
0,17.52,35.49,23.24,90.72,0,,Karimnagar,2021,04-Mar-21,04-03-2021,44259,69,,,,
0,18.01,35.01,21.88,74.24,0,,Karimnagar,2021,05-Mar-21,05-03-2021,44260,69,,,,
0,17.81,35.14,28.29,82.41,0,,Karimnagar,2021,06-Mar-21,06-03-2021,44261,69,,,,
0,17.7,36.15,22.13,85.42,0,,Karimnagar,2021,07-Mar-21,07-03-2021,44262,69,,,,
0,19.14,34.88,34.19,90.33,0,,Karimnagar,2021,08-Mar-21,08-03-2021,44263,69,,,,
0,20.04,34.26,39.56,90.42,0,,Karimnagar,2021,09-Mar-21,09-03-2021,44264,69,,,,
0,20.09,33.71,36.69,92,0,,Karimnagar,2021,10-Mar-21,10-03-2021,44265,69,,,,
0,19.85,33.48,42.88,90.58,0,,Karimnagar,2021,11-Mar-21,11-03-2021,44266,69,,,,
0,19.43,34.96,29.1,92.86,0,,Karimnagar,2021,12-Mar-21,12-03-2021,44267,69,,,,
0,16.98,34.01,38.22,83.72,0,,Karimnagar,2021,13-Mar-21,13-03-2021,44268,69,,,,
0,17.21,33.6,25.72,83.44,0,,Karimnagar,2021,14-Mar-21,14-03-2021,44269,69,,,,
0,18.6,35.24,24.88,79.45,0,,Karimnagar,2021,15-Mar-21,15-03-2021,44270,69,,,,
0,19.72,33.67,37.16,83.8,0,,Karimnagar,2021,16-Mar-21,16-03-2021,44271,69,,,,
0,20.71,34.53,35.92,91.86,0,,Karimnagar,2021,17-Mar-21,17-03-2021,44272,69,,,,
0,20.68,34.92,42.07,93.84,0,,Karimnagar,2021,18-Mar-21,18-03-2021,44273,69,,,,
0,20.71,34.42,39.27,81.72,0,,Karimnagar,2021,19-Mar-21,19-03-2021,44274,69,,,,
0,21.56,33.44,32.24,81.48,0,,Karimnagar,2021,20-Mar-21,20-03-2021,44275,69,,,,
0,19.04,34.03,36.03,84.43,0,,Karimnagar,2021,21-Mar-21,21-03-2021,44276,69,,,,
0,20.85,34.11,34.9,84.76,0,,Karimnagar,2021,22-Mar-21,22-03-2021,44277,69,,,,
0,22.48,35.51,34.67,71.59,0,,Karimnagar,2021,23-Mar-21,23-03-2021,44278,69,,,,
0,19.89,34.04,36.39,83.4,0,,Karimnagar,2021,24-Mar-21,24-03-2021,44279,69,,,,
0,21.09,35.41,31.79,83.84,0,,Karimnagar,2021,25-Mar-21,25-03-2021,44280,69,,,,
0,21.6,37.31,25.21,80.73,0,,Karimnagar,2021,26-Mar-21,26-03-2021,44281,69,,,,
0,21.16,37.16,30.44,86.75,0,,Karimnagar,2021,27-Mar-21,27-03-2021,44282,69,,,,
0,21.16,37.51,23.14,88.28,0,,Karimnagar,2021,28-Mar-21,28-03-2021,44283,69,,,,
0,21.51,39.04,16.9,89.68,0,,Karimnagar,2021,29-Mar-21,29-03-2021,44284,69,,,,
0,22.52,39.79,24.6,83.7,0,,Karimnagar,2021,30-Mar-21,30-03-2021,44285,69,,,,
0,22.36,39.75,20.06,68.57,0,,Karimnagar,2021,31-Mar-21,31-03-2021,44286,69,,,,
0,22.89,40.06,12.03,55.71,1.2,9.09,Karimnagar,2021,01-Apr-21,01-04-2021,44287,73,,,,
0,23.31,39.42,17.76,59.83,0,11.09,Karimnagar,2021,02-Apr-21,02-04-2021,44288,73,,,,
0,21.69,39.95,15.06,68.31,0,8.09,Karimnagar,2021,03-Apr-21,03-04-2021,44289,73,,,,
0,25.27,38.75,29.74,92.48,0,10.23,Karimnagar,2021,04-Apr-21,04-04-2021,44290,73,,,,
0,23.6,36.7,40.71,93.21,0,11.16,Karimnagar,2021,05-Apr-21,05-04-2021,44291,73,,,,
0,23.53,35.63,51.2,93.38,0.8,10.69,Karimnagar,2021,06-Apr-21,06-04-2021,44292,73,,,,
0,22.9,37.51,40.95,93.83,2.8,9.43,Karimnagar,2021,07-Apr-21,07-04-2021,44293,73,,,,
0,24.23,37.94,32.81,90.19,1.2,7.61,Karimnagar,2021,08-Apr-21,08-04-2021,44294,73,,,,
0,22.83,37.59,25.43,89.17,0.3,8.93,Karimnagar,2021,09-Apr-21,09-04-2021,44295,73,,,,
0,23.39,35.2,39.39,89.11,1.85,10.64,Karimnagar,2021,10-Apr-21,10-04-2021,44296,73,,,,
0,23.08,35.44,39.58,80.11,1.13,12.69,Karimnagar,2021,11-Apr-21,11-04-2021,44297,73,,,,
0,22.89,35.79,33.16,89.48,0.1,6.38,Karimnagar,2021,12-Apr-21,12-04-2021,44298,73,,,,
0,22.48,36.37,35.95,84.97,0,11.39,Karimnagar,2021,13-Apr-21,13-04-2021,44299,73,,,,
4.29,21.65,36.09,37.67,90.98,1.95,14.51,Karimnagar,2021,14-Apr-21,14-04-2021,44300,73,,,,
1.46,21.82,33.56,43.99,86.85,0,11.11,Karimnagar,2021,15-Apr-21,15-04-2021,44301,73,,,,
0,22.67,35.45,33.78,91.93,0,8.44,Karimnagar,2021,16-Apr-21,16-04-2021,44302,73,,,,
0,24.08,37.89,25.41,87.76,0,9.44,Karimnagar,2021,17-Apr-21,17-04-2021,44303,73,,,,
0,23.96,38.53,27.48,87.66,0,6.46,Karimnagar,2021,18-Apr-21,18-04-2021,44304,73,,,,
0,24.93,38.86,26.33,84.18,0,11.23,Karimnagar,2021,19-Apr-21,19-04-2021,44305,73,,,,
0,26.43,41.03,20.68,84.08,0,10.05,Karimnagar,2021,20-Apr-21,20-04-2021,44306,73,,,,
0,25.11,39.69,28.44,83.36,1.18,12.7,Karimnagar,2021,21-Apr-21,21-04-2021,44307,73,,,,
2.38,23.43,39.16,32.79,90.16,0.6,10.69,Karimnagar,2021,22-Apr-21,22-04-2021,44308,73,,,,
0,23.63,36.86,38.97,86.12,0,8.34,Karimnagar,2021,23-Apr-21,23-04-2021,44309,73,,,,
0,23.45,38.48,27.69,83.94,0,6.07,Karimnagar,2021,24-Apr-21,24-04-2021,44310,73,,,,
0,24.76,39.41,17.66,83.28,0,8.51,Karimnagar,2021,25-Apr-21,25-04-2021,44311,73,,,,
0,25.42,39.39,27.89,69.91,0.2,8.83,Karimnagar,2021,26-Apr-21,26-04-2021,44312,73,,,,
0.03,25.09,39.78,20.73,63.45,0,11.09,Karimnagar,2021,27-Apr-21,27-04-2021,44313,73,,,,
0.03,24.29,39.62,17.94,74.76,0,9.91,Karimnagar,2021,28-Apr-21,28-04-2021,44314,73,,,,
0,25.23,40.83,17.85,69.43,0,7.21,Karimnagar,2021,29-Apr-21,29-04-2021,44315,73,,,,
0,24.23,40.61,20.9,62.44,0,13.2,Karimnagar,2021,30-Apr-21,30-04-2021,44316,73,,,,
0,24.06,39.49,26.67,75.22,0.15,8.62,Karimnagar,2021,01-May-21,01-05-2021,44317,68,,,,
0,24.84,37.32,35.67,78.33,0,11.98,Karimnagar,2021,02-May-21,02-05-2021,44318,68,,,,
0.31,23.69,37.41,32.58,86.49,0,10.97,Karimnagar,2021,03-May-21,03-05-2021,44319,68,,,,
0,23.35,37.49,30.19,88.47,0,9.08,Karimnagar,2021,04-May-21,04-05-2021,44320,68,,,,
0,25.99,38.58,30.74,82.04,0.9,10.88,Karimnagar,2021,05-May-21,05-05-2021,44321,68,,,,
0,26.21,38.53,32.76,83.21,0,12.91,Karimnagar,2021,06-May-21,06-05-2021,44322,68,,,,
0,26.33,38.18,36.65,77.81,1.7,12.94,Karimnagar,2021,07-May-21,07-05-2021,44323,68,,,,
0,27.1,38.23,32.81,79.02,0,11.43,Karimnagar,2021,08-May-21,08-05-2021,44324,68,,,,
0,26.68,38.09,38.4,79.08,0,12.49,Karimnagar,2021,09-May-21,09-05-2021,44325,68,,,,
0.08,27.36,38.68,33.55,77.32,1.65,12.28,Karimnagar,2021,10-May-21,10-05-2021,44326,68,,,,
